"year","month","brand","registrations"
2023,1,"TESLA",230
2023,2,"TESLA",876
2023,3,"TESLA",990
2023,4,"TESLA",282
2023,5,"TESLA",867
2023,6,"TESLA",862
2023,7,"TESLA",496
2023,8,"TESLA",1167
2023,9,"TESLA",354
2023,10,"TESLA",256
2023,11,"TESLA",1765
2023,12,"TESLA",1183
2024,1,"TESLA",549
2024,2,"TESLA",1155
2024,3,"TESLA",1184
2024,4,"TESLA",451
2024,5,"TESLA",906
2024,6,"TESLA",1225
2024,7,"TESLA",551
2024,8,"TESLA",181
2024,9,"PEUGEOT",1496
2024,9,"MERCEDES-BENZ",1357
2024,9,"DACIA",1276
2024,9,"RENAULT",995
2024,9,"BMW",1086
2024,9,"TOYOTA",817
2024,9,"VOLKSWAGEN",828
2024,9,"CITROEN",369
2024,9,"TESLA",1025
2024,9,"SEAT",450
2024,9,"KIA",480
2024,9,"NISSAN",514
2024,9,"VOLVO",467
2024,9,"HYUNDAI",562
2024,9,"OPEL",298
2024,9,"FIAT",147
2024,9,"FORD",510
2024,9,"AUDI",298
2024,9,"SKODA",221
2024,9,"MITSUBISHI",173
2024,9,"BYD",353
2024,9,"MG",255
2024,9,"CUPRA",109
2024,9,"JEEP",121
2024,9,"MINI",176
2024,9,"PORSCHE",166
2024,9,"DS",91
2024,9,"LAND ROVER",64
2024,9,"HONDA",53
2024,9,"MAZDA",53
2024,9,"LEXUS",63
2024,9,"SMART",57
2024,9,"ALFA ROMEO",27
2024,9,"SUZUKI",22
2024,9,"POLESTAR",24
2024,9,"JAGUAR",5
2024,9,"KGM",9
2024,9,"ASTON MARTIN",5
2024,9,"MERCEDES-BENZ - AUTO RIBEIRO",5
2024,9,"LAMBORGHINI",0
2024,9,"BENTLEY",3
2024,9,"FERRARI",1
2024,9,"MASERATI",2
2024,9,"OPEL - AUTO RIBEIRO",0
2024,9,"XPENG",11
2024,9,"AIWAYS",0
2024,9,"MAN",3
2024,9,"FORTHING",2
2024,9,"LOTUS",3
2024,9,"MORGAN",0
2024,9,"ALPINE",1
2024,9,"FORD - AUTO RIBEIRO",0
2024,9,"ROLLS-ROYCE",1
