"year","month","brand","ytd_registrations","ytd_market_share"
2024,1,"TESLA",201,17.946428571428573
2024,1,"MERCEDES-BENZ",156,13.928571428571429
2024,1,"VOLVO",138,12.321428571428573
2024,1,"BMW",126,11.25
2024,1,"KIA",66,5.892857142857142
2024,1,"DACIA",61,5.446428571428571
2024,1,"FIAT",47,4.196428571428571
2024,1,"AUDI",40,3.571428571428571
2024,1,"NISSAN",37,3.303571428571429
2024,1,"SKODA",36,3.214285714285714
2024,2,"TESLA",633,25.391095066185322
2024,2,"VOLVO",295,11.83313277176093
2024,2,"BMW",236,9.466506217408744
2024,2,"MERCEDES-BENZ",231,9.265944645006016
2024,2,"DACIA",112,4.492579221821099
2024,2,"AUDI",100,4.011231448054553
2024,2,"KIA",97,3.890894504612916
2024,2,"VOLKSWAGEN",95,3.810669875651825
2024,2,"FIAT",93,3.730445246690734
2024,2,"SKODA",80,3.2089851584436424
2024,3,"TESLA",1264,30.159866380338823
2024,3,"VOLVO",447,10.66571224051539
2024,3,"BMW",344,8.208064900978288
2024,3,"MERCEDES-BENZ",331,7.89787640181341
2024,3,"AUDI",280,6.680983058935815
2024,3,"VOLKSWAGEN",202,4.819852063946552
2024,3,"KIA",174,4.151753758052971
2024,3,"FIAT",153,3.650680028632784
2024,3,"DACIA",133,3.173466952994512
2024,3,"SKODA",114,2.720114531138153
2024,4,"TESLA",1513,27.73602199816682
2024,4,"VOLVO",635,11.640696608615949
2024,4,"BMW",444,8.139321723189735
2024,4,"MERCEDES-BENZ",427,7.827681026581118
2024,4,"AUDI",361,6.617781851512373
2024,4,"KIA",349,6.397800183318057
2024,4,"VOLKSWAGEN",243,4.4546287809349225
2024,4,"FIAT",200,3.666361136571952
2024,4,"DACIA",143,2.621448212648946
2024,4,"NISSAN",138,2.529789184234647
2024,5,"TESLA",1880,27.868366439371478
2024,5,"VOLVO",743,11.013934183219686
2024,5,"MERCEDES-BENZ",559,8.286391935962053
2024,5,"BMW",514,7.619329973317522
2024,5,"KIA",474,7.026386006522384
2024,5,"AUDI",446,6.611325229765787
2024,5,"VOLKSWAGEN",315,4.669433738511711
2024,5,"FIAT",229,3.3946042099021643
2024,5,"NISSAN",169,2.5051882597094575
2024,5,"HYUNDAI",150,2.223539875481767
2024,6,"TESLA",2718,30.673738855659632
2024,6,"VOLVO",892,10.066583907008237
2024,6,"MERCEDES-BENZ",752,8.486626791558514
2024,6,"BMW",600,6.771244780498815
2024,6,"AUDI",556,6.2746868299289025
2024,6,"KIA",529,5.969980814806456
2024,6,"VOLKSWAGEN",464,5.236429296919084
2024,6,"NISSAN",277,3.126058006996953
2024,6,"FIAT",247,2.7874957679720125
2024,6,"HYUNDAI",212,2.3925064891095813
2024,7,"TESLA",2897,28.93527766679984
2024,7,"VOLVO",976,9.748302037554934
2024,7,"MERCEDES-BENZ",867,8.659608469836197
2024,7,"BMW",689,6.881741909708349
2024,7,"AUDI",631,6.302437075509388
2024,7,"KIA",611,6.102676787854574
2024,7,"VOLKSWAGEN",516,5.1538154214942065
2024,7,"NISSAN",351,3.5057930483419897
2024,7,"MG",300,2.9964043148222133
2024,7,"HYUNDAI",289,2.8865361566120655
2024,8,"TESLA",3069,27.92
2024,8,"VOLVO",1054,9.59
2024,8,"MERCEDES-BENZ",986,8.97
2024,8,"BMW",775,7.049999999999999
2024,8,"AUDI",714,6.5
2024,8,"KIA",659,6
2024,8,"VOLKSWAGEN",558,5.08
2024,8,"NISSAN",440,4
2024,8,"HYUNDAI",336,3.06
2024,8,"MG",327,2.98
2024,9,"TESLA",3656,29.25502120508922
2024,9,"VOLVO",1131,9.05017204128991
2024,9,"MERCEDES-BENZ",1099,8.79411058654077
2024,9,"BMW",876,7.009682323757701
2024,9,"AUDI",814,6.513563255181245
2024,9,"KIA",704,5.633352004481075
2024,9,"VOLKSWAGEN",612,4.897175322077298
2024,9,"NISSAN",490,3.920941025846203
2024,9,"HYUNDAI",378,3.024725934224214
2024,9,"MG",343,2.744658718092342
2024,10,"TESLA",3840,28.14630213296196
2024,10,"MERCEDES-BENZ",1218,8.927655207798871
2024,10,"VOLVO",1178,8.634464560580518
2024,10,"BMW",983,7.2051601553910425
2024,10,"AUDI",906,6.640768159495712
2024,10,"KIA",759,5.563292530968262
2024,10,"VOLKSWAGEN",667,4.8889540423660485
2024,10,"NISSAN",527,3.8627867771018107
2024,10,"HYUNDAI",426,3.122480392875467
2024,10,"MG",369,2.7046837205893133
